	tissue_id	age	gender
GSM741306	BTO:0000731		
GSM234969	BTO:0000167		
GSM234974	BTO:0000167		
GSM234970	BTO:0000167		
GSM234968	BTO:0000167		
GSM234967	BTO:0000167		
GSM234972	BTO:0000167		
GSM357663	BTO:0000443		
GSM357724	BTO:0000443		
GSM357760	BTO:0000443		
GSM357545	BTO:0000443		
GSM357548	BTO:0000443		
GSM357607	BTO:0000443		
GSM357600	BTO:0000443		
GSM357717	BTO:0000443		
GSM357714	BTO:0000443		
GSM357713	BTO:0000443		
GSM357710	BTO:0000443		
GSM357612	BTO:0000443		
GSM426554	BTO:0000443		
GSM426549	BTO:0000443		
GSM426555	BTO:0000443		
GSM426556	BTO:0000443		
GSM426553	BTO:0000443		
GSM426552	BTO:0000443		
GSM426551	BTO:0000443		
GSM426550	BTO:0000443		
GSM424642	BTO:0000443		
GSM707920	BTO:0000443		
GSM707912	BTO:0000443		
GSM707914	BTO:0000443		
GSM707915	BTO:0000443		
GSM707916	BTO:0000443		
GSM707919	BTO:0000443		
GSM707910	BTO:0000443		
GSM707911	BTO:0000443		
GSM707918	BTO:0000443		
GSM231991	BTO:0000443	840	F
GSM1103150	BTO:0000443	300	M
GSM1103155	BTO:0000443	672	M
GSM149134	BTO:0000443		
GSM149135	BTO:0000443		
GSM149136	BTO:0000443		
GSM1103152	BTO:0000443	744	F
GSM1103158	BTO:0000443	576	M
GSM1103153	BTO:0000443	840	F
GSM1103065	BTO:0000443	852	F
GSM1103154	BTO:0000443	792	M
GSM1103157	BTO:0000443	768	M
GSM1103151	BTO:0000443	744	F
GSM1103156	BTO:0000443	288	M
GSM1103066	BTO:0000443	636	M
GSM1103064	BTO:0000443	600	F
GSM1103063	BTO:0000443	516	M
GSM1103062	BTO:0000443	852	M
GSM325270	BTO:0000443	696	F
GSM325271	BTO:0000443	696	F
GSM325256	BTO:0000443	720	M
GSM325257	BTO:0000443	720	M
GSM325243	BTO:0000443	636	M
GSM325254	BTO:0000443	888	M
GSM325253	BTO:0000443	840	M
GSM325260	BTO:0000443	888	F
GSM325262	BTO:0000443	936	F
GSM325255	BTO:0000443	888	M
GSM325252	BTO:0000443	840	M
GSM325251	BTO:0000443	444	M
GSM325250	BTO:0000443	444	M
GSM325249	BTO:0000443	840	F
GSM325277	BTO:0000443	888	F
GSM325241	BTO:0000443	828	F
GSM525812	BTO:0000443		
GSM411020	BTO:0000443		
GSM325246	BTO:0000443	912	F
GSM411005	BTO:0000443		
GSM325242	BTO:0000443	636	M
GSM411099	BTO:0000443		
GSM428180	BTO:0000443	552	M
GSM325240	BTO:0000443	828	F
GSM428196	BTO:0000443	684	F
GSM325247	BTO:0000443	912	F
GSM410948	BTO:0000443		
GSM325245	BTO:0000443	804	F
GSM325244	BTO:0000443	804	F
GSM410962	BTO:0000443		
GSM525936	BTO:0000443		
GSM525893	BTO:0000443		
GSM525912	BTO:0000443		
GSM526101	BTO:0000443		
GSM325263	BTO:0000443	936	F
GSM325264	BTO:0000443	912	M
GSM325248	BTO:0000443	840	F
GSM325265	BTO:0000443	912	M
GSM325272	BTO:0000443	1020	F
GSM325273	BTO:0000443	1020	F
GSM325274	BTO:0000443	720	M
GSM325275	BTO:0000443	720	M
GSM325276	BTO:0000443	888	F
GSM325261	BTO:0000443	888	F
GSM707917	BTO:0000443		
GSM707909	BTO:0000443		
GSM707913	BTO:0000443		
GSM685195	BTO:0001487		M
GSM685186	BTO:0001487		M
GSM685197	BTO:0001487		M
GSM685196	BTO:0001487		M
GSM685194	BTO:0001487		M
GSM685193	BTO:0001487		M
GSM685192	BTO:0001487		M
GSM685191	BTO:0001487		M
GSM685190	BTO:0001487		M
GSM685189	BTO:0001487		M
GSM685187	BTO:0001487		M
GSM685185	BTO:0001487		M
GSM685184	BTO:0001487		M
GSM685183	BTO:0001487		M
GSM685182	BTO:0001487		M
GSM685181	BTO:0001487		M
GSM685180	BTO:0001487		M
GSM685188	BTO:0001487		M
GSM685207	BTO:0001487		M
GSM685217	BTO:0001487		M
GSM685216	BTO:0001487		M
GSM685215	BTO:0001487		M
GSM685214	BTO:0001487		M
GSM685213	BTO:0001487		M
GSM685212	BTO:0001487		M
GSM685211	BTO:0001487		M
GSM685210	BTO:0001487		M
GSM685199	BTO:0001487		M
GSM685208	BTO:0001487		M
GSM685198	BTO:0001487		M
GSM685206	BTO:0001487		M
GSM685205	BTO:0001487		M
GSM685204	BTO:0001487		M
GSM685203	BTO:0001487		M
GSM685202	BTO:0001487		M
GSM685201	BTO:0001487		M
GSM685163	BTO:0001487		M
GSM685200	BTO:0001487		M
GSM685179	BTO:0001487		M
GSM685209	BTO:0001487		M
GSM342694	BTO:0001487		
GSM685165	BTO:0001487		M
GSM323046	BTO:0001487	336	F
GSM323047	BTO:0001487	504	F
GSM323048	BTO:0001487	504	F
GSM323049	BTO:0001487	504	F
GSM323050	BTO:0001487	504	F
GSM323051	BTO:0001487	504	F
GSM323044	BTO:0001487	336	F
GSM342688	BTO:0001487		
GSM561902	BTO:0001487		M
GSM342700	BTO:0001487		
GSM342705	BTO:0001487		
GSM342711	BTO:0001487		
GSM342716	BTO:0001487		
GSM342722	BTO:0001487		
GSM342740	BTO:0001487		
GSM685218	BTO:0001487		M
GSM685237	BTO:0001487		M
GSM323052	BTO:0001487	504	F
GSM685168	BTO:0001487		M
GSM685177	BTO:0001487		M
GSM685176	BTO:0001487		M
GSM685175	BTO:0001487		M
GSM685174	BTO:0001487		M
GSM685173	BTO:0001487		M
GSM685172	BTO:0001487		M
GSM685171	BTO:0001487		M
GSM323045	BTO:0001487	336	F
GSM685169	BTO:0001487		M
GSM685178	BTO:0001487		M
GSM685167	BTO:0001487		M
GSM685166	BTO:0001487		M
GSM685164	BTO:0001487		M
GSM685162	BTO:0001487		M
GSM685161	BTO:0001487		M
GSM685160	BTO:0001487		M
GSM641549	BTO:0001487		F
GSM561903	BTO:0001487	564	F
GSM685170	BTO:0001487		M
GSM685327	BTO:0001487		M
GSM685318	BTO:0001487		M
GSM685319	BTO:0001487		M
GSM685320	BTO:0001487		M
GSM685321	BTO:0001487		M
GSM685322	BTO:0001487		M
GSM685323	BTO:0001487		M
GSM685324	BTO:0001487		M
GSM692697	BTO:0001487		
GSM685326	BTO:0001487		M
GSM685315	BTO:0001487		M
GSM685328	BTO:0001487		M
GSM685329	BTO:0001487		M
GSM685330	BTO:0001487		M
GSM685331	BTO:0001487		M
GSM685332	BTO:0001487		M
GSM685333	BTO:0001487		M
GSM685297	BTO:0001487		M
GSM685325	BTO:0001487		M
GSM685307	BTO:0001487		M
GSM685235	BTO:0001487		M
GSM685299	BTO:0001487		M
GSM685300	BTO:0001487		M
GSM685301	BTO:0001487		M
GSM685302	BTO:0001487		M
GSM685303	BTO:0001487		M
GSM685304	BTO:0001487		M
GSM685317	BTO:0001487		M
GSM685306	BTO:0001487		M
GSM685316	BTO:0001487		M
GSM685308	BTO:0001487		M
GSM685309	BTO:0001487		M
GSM685310	BTO:0001487		M
GSM685311	BTO:0001487		M
GSM685312	BTO:0001487		M
GSM685313	BTO:0001487		M
GSM685314	BTO:0001487		M
GSM692698	BTO:0001487		
GSM685305	BTO:0001487		M
GSM692730	BTO:0001487		
GSM692721	BTO:0001487		
GSM692722	BTO:0001487		
GSM692723	BTO:0001487		
GSM692724	BTO:0001487		
GSM692725	BTO:0001487		
GSM692726	BTO:0001487		
GSM692727	BTO:0001487		
GSM685334	BTO:0001487		M
GSM692729	BTO:0001487		
GSM692718	BTO:0001487		
GSM692731	BTO:0001487		
GSM692732	BTO:0001487		
GSM692733	BTO:0001487		
GSM692734	BTO:0001487		
GSM710344	BTO:0001487		
GSM710352	BTO:0001487		
GSM710353	BTO:0001487		
GSM692728	BTO:0001487		
GSM692709	BTO:0001487		
GSM692699	BTO:0001487		
GSM692700	BTO:0001487		
GSM692701	BTO:0001487		
GSM692702	BTO:0001487		
GSM692703	BTO:0001487		
GSM692704	BTO:0001487		
GSM692705	BTO:0001487		
GSM692720	BTO:0001487		
GSM692707	BTO:0001487		
GSM692719	BTO:0001487		
GSM692711	BTO:0001487		
GSM692712	BTO:0001487		
GSM692713	BTO:0001487		
GSM692714	BTO:0001487		
GSM692715	BTO:0001487		
GSM692716	BTO:0001487		
GSM692717	BTO:0001487		
GSM685296	BTO:0001487		M
GSM692706	BTO:0001487		
GSM685249	BTO:0001487		M
GSM685240	BTO:0001487		M
GSM685241	BTO:0001487		M
GSM685242	BTO:0001487		M
GSM685243	BTO:0001487		M
GSM685244	BTO:0001487		M
GSM685245	BTO:0001487		M
GSM685246	BTO:0001487		M
GSM685257	BTO:0001487		M
GSM685248	BTO:0001487		M
GSM692708	BTO:0001487		
GSM685250	BTO:0001487		M
GSM685251	BTO:0001487		M
GSM685252	BTO:0001487		M
GSM685253	BTO:0001487		M
GSM685254	BTO:0001487		M
GSM685255	BTO:0001487		M
GSM685298	BTO:0001487		M
GSM685247	BTO:0001487		M
GSM685229	BTO:0001487		M
GSM685220	BTO:0001487		M
GSM685221	BTO:0001487		M
GSM685222	BTO:0001487		M
GSM685223	BTO:0001487		M
GSM685224	BTO:0001487		M
GSM685225	BTO:0001487		M
GSM685226	BTO:0001487		M
GSM685239	BTO:0001487		M
GSM685228	BTO:0001487		M
GSM685238	BTO:0001487		M
GSM685230	BTO:0001487		M
GSM685231	BTO:0001487		M
GSM685232	BTO:0001487		M
GSM685233	BTO:0001487		M
GSM685234	BTO:0001487		M
GSM323043	BTO:0001487	336	F
GSM685236	BTO:0001487		M
GSM685258	BTO:0001487		M
GSM685227	BTO:0001487		M
GSM685288	BTO:0001487		M
GSM685279	BTO:0001487		M
GSM685280	BTO:0001487		M
GSM685281	BTO:0001487		M
GSM685282	BTO:0001487		M
GSM685283	BTO:0001487		M
GSM685284	BTO:0001487		M
GSM685285	BTO:0001487		M
GSM685256	BTO:0001487		M
GSM685287	BTO:0001487		M
GSM685276	BTO:0001487		M
GSM685289	BTO:0001487		M
GSM685290	BTO:0001487		M
GSM685291	BTO:0001487		M
GSM685292	BTO:0001487		M
GSM685293	BTO:0001487		M
GSM685294	BTO:0001487		M
GSM685295	BTO:0001487		M
GSM685286	BTO:0001487		M
GSM685268	BTO:0001487		M
GSM685259	BTO:0001487		M
GSM685260	BTO:0001487		M
GSM685261	BTO:0001487		M
GSM685262	BTO:0001487		M
GSM685263	BTO:0001487		M
GSM685264	BTO:0001487		M
GSM685265	BTO:0001487		M
GSM685278	BTO:0001487		M
GSM685267	BTO:0001487		M
GSM685277	BTO:0001487		M
GSM685269	BTO:0001487		M
GSM685270	BTO:0001487		M
GSM685271	BTO:0001487		M
GSM685272	BTO:0001487		M
GSM685273	BTO:0001487		M
GSM685274	BTO:0001487		M
GSM685275	BTO:0001487		M
GSM685219	BTO:0001487		M
GSM685266	BTO:0001487		M
GSM692710	BTO:0001487		
GSM323026	BTO:0001487	264	F
GSM323027	BTO:0001487	264	F
GSM323028	BTO:0001487	264	F
GSM323029	BTO:0001487	396	F
GSM323031	BTO:0001487	396	F
GSM323030	BTO:0001487	396	F
GSM322377	BTO:0001487		F
GSM323025	BTO:0001487	264	F
GSM137902	BTO:0001487	720	M
GSM323024	BTO:0001487	264	F
GSM323042	BTO:0001487	336	F
GSM323032	BTO:0001487	396	F
GSM323033	BTO:0001487	396	F
GSM323034	BTO:0001487	396	F
GSM323035	BTO:0001487	528	F
GSM323036	BTO:0001487	528	F
GSM323037	BTO:0001487	528	F
GSM323038	BTO:0001487	528	F
GSM323039	BTO:0001487	528	F
GSM323040	BTO:0001487	528	F
GSM323041	BTO:0001487	336	F
GSM322376	BTO:0001487		F
GSM342794	BTO:0001487		
GSM342793	BTO:0001487		
GSM342788	BTO:0001487		
GSM342787	BTO:0001487		
GSM342782	BTO:0001487		
GSM342781	BTO:0001487		
GSM342776	BTO:0001487		
GSM342775	BTO:0001487		
GSM342770	BTO:0001487		
GSM342764	BTO:0001487		
GSM342829	BTO:0001487		
GSM342763	BTO:0001487		
GSM342769	BTO:0001487		
GSM342835	BTO:0001487		
GSM342865	BTO:0001487		
GSM342864	BTO:0001487		
GSM342859	BTO:0001487		
GSM342858	BTO:0001487		
GSM342853	BTO:0001487		
GSM342852	BTO:0001487		
GSM342847	BTO:0001487		
GSM342846	BTO:0001487		
GSM342823	BTO:0001487		
GSM342840	BTO:0001487		
GSM342799	BTO:0001487		
GSM342830	BTO:0001487		
GSM342806	BTO:0001487		
GSM342824	BTO:0001487		
GSM342758	BTO:0001487		
GSM342818	BTO:0001487		
GSM342817	BTO:0001487		
GSM342811	BTO:0001487		
GSM342805	BTO:0001487		
GSM342800	BTO:0001487		
GSM342841	BTO:0001487		
GSM342631	BTO:0001487		
GSM342664	BTO:0001487		
GSM342658	BTO:0001487		
GSM342613	BTO:0001487		
GSM342652	BTO:0001487		
GSM342647	BTO:0001487		
GSM342646	BTO:0001487		
GSM342641	BTO:0001487		
GSM342640	BTO:0001487		
GSM342669	BTO:0001487		
GSM342636	BTO:0001487		
GSM342663	BTO:0001487		
GSM342630	BTO:0001487		
GSM342625	BTO:0001487		
GSM342624	BTO:0001487		
GSM342619	BTO:0001487		
GSM342618	BTO:0001487		
GSM342757	BTO:0001487		
GSM342612	BTO:0001487		
GSM342812	BTO:0001487		
GSM342637	BTO:0001487		
GSM342727	BTO:0001487		
GSM342752	BTO:0001487		
GSM342751	BTO:0001487		
GSM342746	BTO:0001487		
GSM342745	BTO:0001487		
GSM342734	BTO:0001487		
GSM342657	BTO:0001487		
GSM342728	BTO:0001487		
GSM342670	BTO:0001487		
GSM342675	BTO:0001487		
GSM342676	BTO:0001487		
GSM342682	BTO:0001487		
GSM342681	BTO:0001487		
GSM342733	BTO:0001487		
GSM80580	BTO:0001487		
GSM685082	BTO:0001487		F
GSM135333	BTO:0001487	432	M
GSM80590	BTO:0001487		
GSM80589	BTO:0001487		
GSM80588	BTO:0001487		
GSM80583	BTO:0001487		
GSM685075	BTO:0001487		F
GSM685079	BTO:0001487		F
GSM685081	BTO:0001487		F
GSM685074	BTO:0001487		M
GSM685078	BTO:0001487		F
GSM685077	BTO:0001487		F
GSM685076	BTO:0001487		M
GSM80584	BTO:0001487		
GSM685080	BTO:0001487		F
GSM342739	BTO:0001487		
GSM342721	BTO:0001487		
GSM342710	BTO:0001487		
GSM342699	BTO:0001487		
GSM342693	BTO:0001487		
GSM342687	BTO:0001487		
GSM135332	BTO:0001487	408	M
GSM175994	BTO:0001487		M
GSM176027	BTO:0001487		M
GSM176028	BTO:0001487		M
GSM176118	BTO:0001487		M
GSM135331	BTO:0001487	288	M
GSM176121	BTO:0001487		M
GSM176119	BTO:0001487		M
GSM655464	BTO:0005198		
GSM655466	BTO:0005198		
GSM427352	BTO:0005198		
GSM427354	BTO:0005198		
GSM427349	BTO:0005198		
GSM382119	BTO:0005198		
GSM382121	BTO:0005198		
GSM382133	BTO:0005198		
GSM427348	BTO:0005198		
GSM427353	BTO:0005198		
GSM427351	BTO:0005198		
GSM382131	BTO:0005198		
GSM427355	BTO:0005198		
GSM427350	BTO:0005198		
GSM501001	BTO:0005198		
GSM427357	BTO:0005198		
GSM557446	BTO:0005198		
GSM557448	BTO:0005198		
GSM501003	BTO:0005198		
GSM427356	BTO:0005198		
GSM464397	BTO:0005198		
GSM464396	BTO:0005198		
GSM464391	BTO:0005198		
GSM501002	BTO:0005198		
GSM655465	BTO:0005198		
GSM655467	BTO:0005198		
GSM382118	BTO:0005198		
GSM382130	BTO:0005198		
GSM382132	BTO:0005198		
GSM382120	BTO:0005198		
GSM557445	BTO:0005198		
GSM557447	BTO:0005198		
GSM458609	BTO:0004752		
GSM455152	BTO:0004752	612	F
GSM455155	BTO:0004752	612	M
GSM455151	BTO:0004752	588	M
GSM455153	BTO:0004752	504	F
GSM455154	BTO:0004752	588	M
GSM455150	BTO:0004752	504	F
GSM458608	BTO:0004752		
GSM277101	BTO:0000045	540	F
GSM277109	BTO:0000045	648	F
GSM277108	BTO:0000045	528	M
GSM277121	BTO:0000045	684	F
GSM277107	BTO:0000045	624	M
GSM277113	BTO:0000045	660	M
GSM277106	BTO:0000045	396	F
GSM277105	BTO:0000045	672	F
GSM277104	BTO:0000045	300	F
GSM277103	BTO:0000045	300	F
GSM277102	BTO:0000045	336	F
GSM277112	BTO:0000045	576	M
GSM277119	BTO:0000045	708	M
GSM277100	BTO:0000045	744	F
GSM277115	BTO:0000045	384	F
GSM277111	BTO:0000045	672	F
GSM277116	BTO:0000045	456	M
GSM277114	BTO:0000045	612	F
GSM277120	BTO:0000045	540	M
GSM277110	BTO:0000045	852	F
GSM277117	BTO:0000045	768	F
GSM277150	BTO:0000045	600	M
GSM277141	BTO:0000045	612	F
GSM277142	BTO:0000045	624	M
GSM277143	BTO:0000045	1044	F
GSM277137	BTO:0000045	732	F
GSM277146	BTO:0000045	396	F
GSM277148	BTO:0000045	924	M
GSM277136	BTO:0000045	720	F
GSM277147	BTO:0000045	480	F
GSM277129	BTO:0000045	468	F
GSM277124	BTO:0000045	576	F
GSM277144	BTO:0000045	372	F
GSM277151	BTO:0000045	588	F
GSM277130	BTO:0000045	540	F
GSM277123	BTO:0000045	540	F
GSM310480	BTO:0000045		F
GSM277152	BTO:0000045	576	M
GSM277153	BTO:0000045	228	M
GSM277154	BTO:0000045	564	F
GSM310475	BTO:0000045		F
GSM310476	BTO:0000045		M
GSM310477	BTO:0000045		F
GSM277127	BTO:0000045	120	F
GSM310479	BTO:0000045		M
GSM277149	BTO:0000045	408	M
GSM310481	BTO:0000045		F
GSM310478	BTO:0000045		M
GSM310486	BTO:0000045		F
GSM277134	BTO:0000045	540	M
GSM277145	BTO:0000045	384	F
GSM277132	BTO:0000045	120	M
GSM277133	BTO:0000045	624	F
GSM277138	BTO:0000045	660	F
GSM277122	BTO:0000045	492	F
GSM277135	BTO:0000045	564	F
GSM310485	BTO:0000045		F
GSM310484	BTO:0000045		M
GSM310483	BTO:0000045		F
GSM310482	BTO:0000045		M
GSM277131	BTO:0000045	660	M
GSM277091	BTO:0000045	696	F
GSM277097	BTO:0000045	936	M
GSM277094	BTO:0000045	384	F
GSM277095	BTO:0000045	336	M
GSM277096	BTO:0000045	660	M
GSM277098	BTO:0000045	492	M
GSM277099	BTO:0000045	696	M
GSM277092	BTO:0000045	852	M
GSM277093	BTO:0000045	528	M
GSM277090	BTO:0000045	852	F
GSM277118	BTO:0000047	588	F
GSM277128	BTO:0000047	300	F
GSM301671	BTO:0000047	720	M
GSM219245	BTO:0000802	564	M
GSM219241	BTO:0000802	492	M
GSM219251	BTO:0000802	540	M
GSM219246	BTO:0000802	432	M
GSM219243	BTO:0000802	444	F
GSM219247	BTO:0000802	540	M
GSM219248	BTO:0000802	540	M
GSM219249	BTO:0000802	588	F
GSM307672	BTO:0000802	444	M
GSM219242	BTO:0000802	732	M
GSM38380	BTO:0000802		
GSM219244	BTO:0000802	420	M
GSM349924	BTO:0000802	576	F
GSM38382	BTO:0000802		
GSM349946	BTO:0000802	252	F
GSM349945	BTO:0000802	576	M
GSM349944	BTO:0000802	324	F
GSM349943	BTO:0000802	456	M
GSM349942	BTO:0000802	492	M
GSM349939	BTO:0000802	324	F
GSM349912	BTO:0000802	564	M
GSM349920	BTO:0000802	288	M
GSM349919	BTO:0000802	312	M
GSM349918	BTO:0000802	408	F
GSM349916	BTO:0000802	492	F
GSM349915	BTO:0000802	504	M
GSM219252	BTO:0000802	444	F
GSM219262	BTO:0000802	672	M
GSM349917	BTO:0000802	420	M
GSM219253	BTO:0000802	552	M
GSM349941	BTO:0000802	480	M
GSM307668	BTO:0000802	300	F
GSM349926	BTO:0000802	492	M
GSM219259	BTO:0000802	576	M
GSM307651	BTO:0000802	732	M
GSM219264	BTO:0000802	540	M
GSM219263	BTO:0000802	708	M
GSM38376	BTO:0000802		
GSM307655	BTO:0000802	288	M
GSM219258	BTO:0000802	480	M
GSM219257	BTO:0000802	576	M
GSM219256	BTO:0000802	528	M
GSM219260	BTO:0000802	600	M
GSM219254	BTO:0000802	492	M
GSM38384	BTO:0000802		
GSM219261	BTO:0000802	540	M
GSM307661	BTO:0000802	660	F
GSM307669	BTO:0000802	300	F
GSM307666	BTO:0000802	408	M
GSM307665	BTO:0000802	408	M
GSM307664	BTO:0000802	408	M
GSM307653	BTO:0000802	480	M
GSM307660	BTO:0000802	660	F
GSM307658	BTO:0000802	456	M
GSM307657	BTO:0000802	456	M
GSM219250	BTO:0000802	456	M
GSM307663	BTO:0000802	408	M
GSM219255	BTO:0000802	528	F
GSM349938	BTO:0000802	384	F
GSM38357	BTO:0000802		
GSM38360	BTO:0000802		
GSM38352	BTO:0000802		
GSM349927	BTO:0000802	492	M
GSM349925	BTO:0000802	468	M
GSM349921	BTO:0000802	468	M
GSM349913	BTO:0000802	588	F
GSM307671	BTO:0000802	444	M
GSM38366	BTO:0000802		
